Source,Target,Type,Relation,Weight,Year,Project,Level1,Level2
P::宁波理工联培,L2::计算机技术,Undirected,培养项目-二级学科,18,overall,宁波理工联培,,计算机技术
P::嵌入式系统与高端测试装备,L2::电子信息（生仪学院）,Undirected,培养项目-二级学科,21,overall,嵌入式系统与高端测试装备,,电子信息（生仪学院）
P::工业工程与管理,L2::工程管理,Undirected,培养项目-二级学科,31,overall,工业工程与管理,,工程管理
P::工业智能,L2::电子信息（控制学院）,Undirected,培养项目-二级学科,26,overall,工业智能,,电子信息（控制学院）
P::工业母机,L2::机械工程,Undirected,培养项目-二级学科,5,overall,工业母机,,机械工程
P::工业母机与智能制造,L2::机械（机械学院）,Undirected,培养项目-二级学科,107,overall,工业母机与智能制造,,机械（机械学院）
P::工业软件关键技术与系统,L2::人工智能,Undirected,培养项目-二级学科,17,overall,工业软件关键技术与系统,,人工智能
P::工业软件关键技术与系统,L2::电子信息（软件学院）,Undirected,培养项目-二级学科,3,overall,工业软件关键技术与系统,,电子信息（软件学院）
P::工业软件关键技术与系统,L2::软件工程,Undirected,培养项目-二级学科,67,overall,工业软件关键技术与系统,,软件工程
P::工程科学计算,L2::机械（航空航天学院）,Undirected,培养项目-二级学科,50,overall,工程科学计算,,机械（航空航天学院）
P::工程科学计算,L2::电子信息（航空航天学院）,Undirected,培养项目-二级学科,7,overall,工程科学计算,,电子信息（航空航天学院）
P::平衡建筑理论与工程实践,L2::土木工程,Undirected,培养项目-二级学科,11,overall,平衡建筑理论与工程实践,,土木工程
P::平衡建筑理论与工程实践,L2::土木水利（建工学院）,Undirected,培养项目-二级学科,5,overall,平衡建筑理论与工程实践,,土木水利（建工学院）
P::平衡建筑理论与工程实践,L2::城乡规划,Undirected,培养项目-二级学科,6,overall,平衡建筑理论与工程实践,,城乡规划
P::平衡建筑理论与工程实践,L2::市政工程（含给排水等）,Undirected,培养项目-二级学科,1,overall,平衡建筑理论与工程实践,,市政工程（含给排水等）
P::平衡建筑理论与工程实践,L2::建筑,Undirected,培养项目-二级学科,67,overall,平衡建筑理论与工程实践,,建筑
