Id,Label,timeset,院系,课程性质,课程体系,是否允许外院选课,上课语言,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
2124091,应用几何造型基础,,计算机科学与技术学院,专业选修课,通用课程,是,双语,16,1333,11,0.235423,0.258372,0.000004,4
2124093,智能设计,,计算机科学与技术学院,专业选修课,通用课程,否,中文,16,1145,11,0.239924,0.261817,0.000507,93
2124094,机器人,,计算机科学与技术学院,专业选修课,通用课程,是,双语,11,654,11,0.234305,0.256013,0,4
2124096,无线与物联网安全,,计算机科学与技术学院,专业选修课,通用课程,是,双语,10,455,11,0.244851,0.269873,0.000008,4
2124097,知识图谱导论,,计算机科学与技术学院,专业选修课,通用课程,是,双语,42,11168,10,0.280395,0.310062,0.001268,4
2124098,软件逆向工程高阶,,计算机科学与技术学院,专业选修课,通用课程,是,中文,7,288,11,0.222061,0.237729,0.000001,4
2124102,数字化自动驾驶,,计算机科学与技术学院,专业选修课,通用课程,是,中文,7,148,11,0.23405,0.255392,0,4
213083,行政法案例评析,,光华法学院,专业选修课,,是,中文,9,192,12,0.177723,0.191279,0.000239,62
213092,民商法学经典文献选读,,光华法学院,专业选修课,学术学位,否,中文,2,0,0,0,0,0,61
213187,公法与政策研究,,光华法学院,专业选修课,学术学位,是,中文,5,46,12,0.177209,0.188366,0,62
2141002,图形学与虚拟现实技术,,计算机科学与技术学院,专业学位课,,是,中文,10,785,11,0.226061,0.24147,0,4
2141005,计算机技术工程实践,,计算机科学与技术学院,专业学位课,专业学位,否,中文,12,2334,11,0.239402,0.262035,0.000004,4
2141006,工业设计工程实践,,计算机科学与技术学院,专业学位课,专业学位,否,中文,9,545,11,0.23971,0.260827,0,93
2141030,一体化设计技术,,计算机科学与技术学院,专业学位课,,是,中文,8,452,12,0.194923,0.20642,0,93
2141031,服务设计,,计算机科学与技术学院,专业学位课,专业学位,是,中文,20,1646,11,0.241857,0.26403,0.010348,93
2141032,整合设计,,计算机科学与技术学院,专业学位课,,是,中文,19,1786,11,0.239964,0.262166,0.001094,93
2141033,文化构成与产品创新设计,,计算机科学与技术学院,专业学位课,,是,中文,9,428,12,0.194923,0.20642,0,93
