Source,Target,Type,Id,Label,timeset,Weight
1021023,109504,Undirected,307,,,43
1021023,109510,Undirected,308,,,70
1021023,209503,Undirected,309,,,59
1021023,409506,Undirected,312,,,45
1021023,409523,Undirected,313,,,67
1021023,609606,Undirected,315,,,87
1021023,9809306,Undirected,316,,,58
1021023,9909302,Undirected,317,,,44
1021032,1021033,Undirected,318,,,558
1021032,1021107,Undirected,319,,,361
1021032,1021127,Undirected,320,,,139
1021032,1023037,Undirected,321,,,140
1021032,1023038,Undirected,322,,,160
1021032,1023039,Undirected,323,,,414
1021032,1023042,Undirected,324,,,318
1021032,1023078,Undirected,325,,,254
1021032,1023105,Undirected,326,,,174
1021032,1023106,Undirected,327,,,486
1021032,1041095,Undirected,328,,,169
1021032,1042114,Undirected,329,,,167
1021032,2742002,Undirected,330,,,151
1021032,1021034,Undirected,334,,,79
1021032,1021035,Undirected,335,,,411
1021032,1021145,Undirected,336,,,121
1021032,1023036,Undirected,337,,,65
1021032,1023040,Undirected,338,,,275
1021032,1023041,Undirected,339,,,40
1021032,1023141,Undirected,340,,,41
1021032,1041158,Undirected,341,,,95
1021032,109510,Undirected,342,,,60
1021032,609606,Undirected,343,,,84
1021033,1021034,Undirected,344,,,71
1021033,1021035,Undirected,345,,,383
1021033,1021107,Undirected,346,,,343
1021033,1021127,Undirected,347,,,142
1021033,1021145,Undirected,348,,,149
1021033,1022138,Undirected,349,,,106
1021033,1023036,Undirected,350,,,48
1021033,1023037,Undirected,351,,,130
1021033,1023038,Undirected,352,,,150
1021033,1023039,Undirected,353,,,436
1021033,1023040,Undirected,354,,,227
1021033,1023042,Undirected,355,,,331
1021033,1023078,Undirected,356,,,230
1021033,1023105,Undirected,357,,,199
1021033,1023106,Undirected,358,,,518
1021033,1023118,Undirected,359,,,73
1021033,1023119,Undirected,360,,,52
1021033,1023141,Undirected,361,,,62
1021033,1041158,Undirected,362,,,100
1021033,1042114,Undirected,363,,,159
1021033,109504,Undirected,364,,,36
1021033,109510,Undirected,365,,,53
1021033,2742002,Undirected,366,,,163
1021033,409506,Undirected,367,,,40
1021033,609606,Undirected,368,,,57
1021034,1023039,Undirected,369,,,55
1021034,1023042,Undirected,370,,,55
1021034,1021035,Undirected,373,,,73
